ID,식물명,식물영명,생육온도,겨울최저온도,습도,물주기(봄),물주기(여름),물주기(가을),물주기(겨울),관리요구도,광도_낮음,광도_중간,광도_높음,장소_발코니 창측,장소_발코니 내측,장소_거실 창측,장소_거실 내측,장소_실내 어두운 곳,독성_여부(1=있음),꽃피는계절_봄,꽃피는계절_여름,꽃피는계절_가을,꽃피는계절_겨울
14676,드라세나  '송오브자마이카',song of jamaica,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0
14687,드라세나  '와네끼',striped dracaena,2,5,2,2,2,2,1,2,0,1,1,1,1,1,1,0,1,0,0,0,0
14694,드라세나 '송오브인디아',song of India,2,2,2,3,3,3,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0
14696,드라세나 '자바',Dracaena angustifolia 'Java',2,5,2,2,2,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
14697,드라세나 '콤팩타',calypso queen,2,5,2,3,3,3,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0
14698,드라세나 '트리컬러 레인보우',dracaena rainbow,2,5,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0
14688,드라세나 드라코,dragon tree,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,1,0,0,0,0
14689,드라세나 마지나타,Madagascar dragon tree,2,4,2,3,3,3,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
14690,드라세나 맛상게아나,corn plant,2,5,2,3,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
14691,드라세나 산데리아나,ribbon plant,3,5,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
14692,드라세나 산데리아나 '세레스',Dracaena sanderiana Celes,2,5,2,3,3,3,2,2,1,1,1,0,1,1,1,1,0,0,0,0,0
14695,드라세나 수르쿨로사,Dracaena surculosa,2,5,1,2,2,2,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0
14699,디지고데카,false aralia,2,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
14700,디펜바키아 '마리안느',dieffenbachia maculata,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,0,0,0,0
14713,디펜바키아 '트로픽스노우',dumb cane,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,1,0,0,0,0
14911,떡갈잎 고무나무,fiddle leaf fig,2,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,0,0,0,0
14913,러브체인,rosary vine,2,4,1,1,1,1,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
14920,렉스베고니아,rex begonia,2,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,1,1,0,0
15830,루모라고사리,leather leaf fern,2,2,3,3,3,3,2,4,0,1,1,1,1,1,0,0,0,0,0,0,0
16034,루스커스,<i>Ruscus</i> spp.,2,2,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
16038,마란타 류코뉴라,rabbit's tracks,2,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
16238,마삭줄,<i>Trachelospermum asiaticum</i>,2,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0
16239,만년청,Nippon lily,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
16241,만데빌라,Brazilian Jasmine,2,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,1,1,1,0
16245,멕시코소철,sago palm,3,4,2,2,2,2,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
16246,멜라니 고무나무,Robust Rubbertree,3,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
16448,목베고니아,lucerna begonia,3,5,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,1,1,0,0
16449,몬스테라,swiss cheese plant,2,5,3,3,3,3,2,2,0,1,1,1,1,1,0,0,1,0,0,0,0
17749,무늬관음죽,variegated lady palm,2,4,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
17750,무늬마삭줄,Yellow Star Jasmine,2,2,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0
17751,무늬벤자민고무나무,weeping fig,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
18575,무늬산호수,Japanese Ardisia,3,1,2,2,2,2,1,2,0,1,1,1,1,1,0,0,1,1,1,0,0
18576,무늬석창포,Grassleaf Sweet Flag,3,1,2,3,3,3,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
18593,무늬쉐플레라'홍콩',Umbrella tree,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
18596,무늬알피니아,variegated shell-flower,3,5,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
18597,무늬유카,Spineless yucca,3,3,2,2,2,2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0
18599,무늬접란,spider plant,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
18600,무늬털머위,leopard plant,2,2,2,2,2,2,2,1,0,1,1,1,1,1,0,0,0,0,1,1,0
18602,무늬팻츠헤데라,variegated tree ivy,2,2,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
18604,무늬푸밀라고무나무,variegated creeping fig,3,3,2,2,2,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0
18649,뮤렌베키아,maidenhair vine,2,4,2,2,2,2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
18656,바위취,strawberry saxifrage,2,1,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,1,0,0
18659,박쥐란,common staghorn fern,2,5,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
18692,반딧불털머위,Japanese silver leaf,2,2,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0
18694,백량금,spear flower,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0
14915,백정화,japanese serissa,2,2,2,2,2,2,1,3,0,1,1,1,1,0,0,0,0,1,1,0,0
14916,백화등,trachelospermum,2,1,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,1,0,0,0
14919,벤자민고무나무,Weeping Fig,3,5,2,2,2,2,2,2,0,1,1,1,1,0,1,0,0,0,0,0,0
15828,벤자민고무나무 '킹',Benjamin's Fig,3,5,2,2,2,2,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0
15831,벵갈고무나무,banyan tree,3,5,2,2,2,2,2,2,0,1,1,1,1,1,0,0,1,0,0,0,0
15835,병솔나무,bottlebrush,3,3,2,2,2,2,1,3,0,0,1,1,1,1,0,0,0,1,1,0,0
16037,보스톤고사리,Boston fern,2,5,3,3,3,3,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0
16138,봉의꼬리,spidar fern,2,2,3,3,3,3,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0
18613,부겐빌레아,paper flower,3,5,2,3,3,3,3,3,0,1,1,1,1,1,0,0,0,1,1,1,0
18652,브룬펠시아,yesterday today and tomorrow,3,4,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,1,1,0,0
18655,브리세아,flaming sword,3,5,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,1,1,0,0
18695,비젯티접란,St. Bernard lily,3,4,2,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0
18697,비타툼접란,ribbon plant,3,3,1,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0
19448,산세베리아,mother in law's tongue,3,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
19449,산세베리아 '골든 하니',golden bird’s nest,3,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
19451,산호수,Small coralberry,2,2,2,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0
19452,삼색데코라고무나무,rubber tree,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
19453,상록넉줄고사리 '후마타',squirrel's (bear's,2,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
19455,새우란,Calanthe,3,3,2,2,2,2,1,3,0,1,0,1,1,0,0,0,0,1,1,0,0
19457,석창포,Japanese sweet flag,2,1,2,3,3,3,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0
19460,세네시오 라디칸스,String of pearls,3,5,1,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19663,세이프릿지 야자,reed palm,3,5,2,2,2,2,2,3,0,1,1,1,1,0,0,0,1,0,0,0,0
19696,셀라기넬라,blue-green peacock fern,3,5,3,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19701,소철,cycad,3,2,2,2,2,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
19703,소피아 고무나무,Ficus sofia,3,5,2,2,2,2,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0
19704,솔레이롤리아,Mind your own business,2,2,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
19706,수박페페로미아,watermelon peperomia,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19709,수박필레아,Aluminum plant,3,5,2,2,2,2,1,4,0,1,1,1,1,1,0,0,0,0,0,0,0
19711,수염 틸란드시아,spanish moss,3,5,3,2,2,2,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0
19713,숙근이베리스,Evergreen candytuft,3,4,2,2,2,2,1,3,0,0,1,1,1,1,0,0,0,1,1,0,0
19715,쉐플레라 '홍콩',queensland umbrella tree,3,3,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0
19716,스킨답서스,scindapsus,3,5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0
19717,스파티필룸,spath,3,5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0
19718,스파티필룸 (광엽),spath,3,5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0
19719,시서스,Grape ivy,3,5,2,2,2,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0
19707,시클라멘,Cyclamen,2,3,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,1,0,0,1
19712,심비디움,Cymbidium Orchid,3,4,3,1,2,2,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1
19714,싱고니움,Goose foot,3,4,2,3,3,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19469,아글라오네마,spotted evergreen,3,5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0
19468,아데니움,desert rose,3,5,2,1,1,1,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0
19467,아디안텀,Delta maidenhair fern,3,5,2,2,2,2,1,4,0,1,1,1,1,1,0,0,0,0,0,0,0
19466,아라우카리아,Norfolk island pine,3,2,2,2,2,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
19465,아레카야자,areca palm,3,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19470,아마릴리스,amaryllis,3,3,2,2,3,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
19464,아스파라거스 풀루모수스,Asparagus fern,3,4,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19463,아스플레니움,bird's nest fern,3,4,2,4,4,4,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0
19462,아왜나무,Awabuki Sweet Viburnum,2,1,2,2,2,2,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
19461,아이비,english ivy,2,2,2,3,3,3,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0
19459,아펠란드라,zebra plant,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,1,0,0,1
18691,아프리칸 바이올렛,african violet,2,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,1,1,0,1
18660,안수리움,common anthurium,3,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,1,1,1,1
18658,알로카시아 아마조니카,elephant's ear,3,5,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
19471,알로카시아 쿠쿨라타,Chinese taro,2,5,2,3,3,3,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0
18657,얼룩자주달개비,silvery wandering jew,3,4,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
18654,에메랄드리플 페페로미아,Emerald Ripple Peperomia,3,5,2,1,1,1,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
18601,에크메아 파시아타,urn plant,3,5,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,1,1,0,0
18598,엘라티올 베고니아,Reiger Begonia,3,5,2,2,2,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,0
18595,여우꼬리풀,Red-hot cat's tail,3,5,2,1,2,2,1,3,0,0,1,1,1,1,0,0,0,1,1,0,0
18591,엽란,iron plant,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
19474,옥살리스(사랑초),red leaf oxalis,2,4,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
18589,온시디움,Dancing ladies,3,5,2,1,2,1,1,3,0,1,1,1,1,1,0,0,0,1,1,0,0
18588,왜란,Mondo grass,1,1,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
18587,왜성종려죽,Jade Empress,2,3,2,2,2,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
18585,움벨라타 고무나무,Ficus umbellata,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
18582,유카,mound lily,3,2,2,2,2,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
18581,은사철나무,silver-queen,2,1,2,2,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0
18578,익소라,broken pot,3,5,2,3,3,3,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
17748,인삼벤자민,Ginseng ficus,3,5,2,2,2,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
17741,자금우,marlberry,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
17393,자란,Chinese ground orchid,2,2,2,1,2,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0
16450,자주색만년초,Oyster plant,3,3,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
16447,접란,ribbon plant,2,4,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
16248,제라니움,geranium,3,4,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0
16242,좀마삭줄,Asia Minor Asiatic Jasmine,2,1,2,3,3,3,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0
16036,종려방동사니,Umbrella Plant,2,4,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0
16035,종려죽,low ground rattan,2,4,2,2,2,2,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0
16033,죽백나무,nagi podocarpus,2,4,2,2,2,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0
15834,줄리아 페페로미아,Parallel Peperomia,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
12991,참쇠고비(섬쇠고비),Fish-tail Holly Fern,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
12989,치자나무,common gardenia,3,2,2,1,2,2,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0
15829,칼라데아 마코야나,brain plant,3,5,2,2,2,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
14918,칼라데아 인시그니스,rattle snake plant,3,5,2,2,2,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
14917,칼라데아 크로카타,gold star,3,5,2,2,2,2,1,3,0,1,1,0,1,1,0,0,0,1,1,0,0
14914,칼라디움,angel's wing,3,5,2,2,2,2,1,4,0,1,1,0,1,1,0,0,0,0,0,0,0
13319,칼랑코에,kalanchoe,2,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,1,0,0,1
13317,커피나무,Coffee,3,5,2,2,2,2,1,3,0,0,1,1,1,1,0,0,0,1,0,0,0
13318,켄챠야자,belmore palm,3,5,2,2,2,2,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0
13309,코르딜리네 레드에지,red good luck plant,3,5,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13260,크로톤,garden croton,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13257,크립탄서스,earth stars,3,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13255,클레마티스,clematis,3,1,2,3,3,3,2,1,0,0,1,1,0,0,0,0,0,1,1,0,0
12996,털달개비,White Velvet,3,5,2,1,2,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0
13001,털머위,leopard plant,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,1,1,0,0
13002,테이블야자,parlour palm,3,5,2,3,3,3,1,2,0,1,1,1,1,1,1,1,0,0,0,0,0
13003,톨미아,piggyback plant,3,4,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
13004,틸란드시아,blue-flowered torch,3,4,2,2,2,2,1,3,0,1,1,0,1,1,0,0,0,1,0,0,1
13248,파키라,guiana chestnut,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
13247,파피오페딜럼,Lady's slipper,3,4,3,1,2,2,1,3,0,1,0,1,1,1,0,0,0,1,1,0,0
13245,팔레놉시스(호접란),Phalaenopsis,3,5,2,2,2,2,1,4,0,1,1,1,1,1,1,0,0,1,1,0,1
13244,팔손이나무,japanese fatsia,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
13242,팬더 고무나무,Ficus Panda,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
13253,팻츠헤데라,miracle plant,2,4,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0
13240,페페로미아 오브투시폴리아,desert privet,3,5,2,2,2,2,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0
13216,페페로미아 클루시폴리아,red edge peperomia,3,5,2,2,2,2,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0
13215,페페로미아 푸테올라타,Parallel Peperomia,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
13214,포인세티아,poinsettia,3,5,2,3,3,3,2,3,0,0,1,1,1,1,0,0,0,1,0,0,1
13213,폴리시아스,dinner plate aralia,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
13212,푸밀라고무나무,creeping fig,3,4,2,3,3,3,2,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13211,프테리스,Cretan brake,3,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
13209,피라칸사,firethorn,2,1,2,3,3,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
13251,피토니아 핑크스타,Mosaic Plant,3,5,2,2,2,2,1,4,0,1,1,0,1,1,1,0,0,0,0,0,0
13197,피토니아 화이트스타,Mosaic Plant,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
13194,픽투라툼 접란,spider plant,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
13193,"필레아 글라우카(타라, 블루체인)",Friendship Plant,3,5,2,2,2,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
13190,필로덴드론 '선라이트',Heartleaf,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
13187,필로덴드론 '제나두',Split leaf Philodendron,3,5,2,2,2,2,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0
13192,필로덴드론 고엘디,fan ban,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
13191,필로덴드론 레몬라임,Lemon-Lime Vining Philodendron,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13189,필로덴드론 셀로움,lace tree philodendron,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
13188,필로덴드론 옥시카르디움,sweet heart vine,3,5,2,2,2,2,1,2,0,1,1,0,1,1,1,1,0,0,0,0,0
13249,필로덴드론 콩고,Rojo Congo Philodendron,3,5,2,2,2,2,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
12987,해마리아,jewel orchid,3,5,2,3,3,3,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0
12983,행운목,corn plant,3,5,2,3,3,3,2,1,0,1,1,0,1,1,1,0,0,0,0,0,0
12981,헤미오니티스(하트펀),heart fern,3,5,3,3,3,3,2,3,0,1,1,0,1,1,1,0,0,0,0,0,0
12979,헤테로파낙스 프라그란스 (해피트리),Fragrant Aralia,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
12978,협죽도,Sweet scented Oleander,3,3,2,2,3,2,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
12976,형광스킨답서스,lime pothos,3,5,2,2,2,2,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0
12986,호야,wax plant,3,5,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
12975,호야 엑소티카,Wax plant,3,5,2,1,1,1,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
12973,호주매,New Zealand teatree,3,5,2,1,2,2,1,3,0,0,1,1,1,1,0,0,0,1,1,0,0
12971,홀리아페페로미아,Parallel peperomia,3,5,2,1,1,1,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0
12937,황금마삭줄,chinese ivy,2,2,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0
12932,황금죽,belgian evergreen,2,5,2,2,2,2,2,3,0,1,1,0,1,1,1,0,0,0,0,0,0
12956,후피향나무,naked-anther,2,1,2,2,2,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
12920,흰꽃나도사프란,Autumn Zephyrlily. White amaryllis,3,2,2,1,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
12919,흰줄무늬달개비(트라데스칸티아),wandering jew,3,5,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0
12901,히포에스테스,hamingo plant,3,5,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0
